State,Year,month,sa_no,DelimID,AC_No,Position,Cand1,Sex1,Party1,Votes1,Age,Cand_Type,Valid_Votes,Electors,AC_Name,AC_Type,District_Name,Sub_Region,N_Cand,Turnout,Vote_Sh,Deposit_Lost,Margin_Percent,Jati,Caste_Rec,Rel,New.Caste,Old_Jati,ENOP,Caste
Gujarat,1962,2,1,1,5,1,JADAVJI RAGHAVJI MORABIA,M,SWA,26113,NA,NA,39531,73492,RAPAR,GEN,NA,NA,2,53.79,66.06,no,32.11,PATEL,INTERMEDIARY CASTE,HINDU,NA,NA,1.79,INTERMEDIARY CASTE
Gujarat,1962,2,1,1,5,2,HARILAL NANJI PATEL,M,INC,13418,NA,NA,39531,73492,RAPAR,GEN,NA,NA,2,53.79,33.94,no,0,,,,NA,NA,1.79,
Gujarat,1962,2,1,1,6,1,RASIKLAL UMEDCHAND PARIKH,M,INC,23926,NA,NA,34420,61924,DASADA,GEN,NA,NA,3,55.58,69.51,no,42.23,BRAHMIN,UPPER CASTE,HINDU,NA,NA,1.82,UPPER CASTE
Gujarat,1962,2,1,1,6,2,VELJI SHANKER MOTKA,M,IND,9389,NA,NA,34420,61924,DASADA,GEN,NA,NA,3,55.58,27.28,no,24.07,,,,NA,NA,1.82,
Gujarat,1962,2,1,1,6,3,DEVENDRA DHIRAJLAL VYAS,M,PSP,1105,NA,NA,34420,61924,DASADA,GEN,NA,NA,3,55.58,3.21,no,0,,,,NA,NA,1.82,
Gujarat,1962,2,1,1,7,1,ARUNA SHANKER PRASAD DESAI,F,INC,15338,NA,NA,32792,60930,WADHWAN,GEN,NA,NA,4,53.82,46.77,no,5.39,BRAHMIN,UPPER CASTE,HINDU,NA,NA,2.5,UPPER CASTE
Gujarat,1962,2,1,1,7,2,CHUNILAL POPATLAL CHUDGAR,M,IND,13569,NA,NA,32792,60930,WADHWAN,GEN,NA,NA,4,53.82,41.38,no,31.06,,,,NA,NA,2.5,
Gujarat,1962,2,1,1,7,3,SHANTILAL PARSHOTTAMDAS CHAMPANERI,M,PSP,3383,NA,NA,32792,60930,WADHWAN,GEN,NA,NA,4,53.82,10.32,no,8.79,,,,NA,NA,2.5,
Gujarat,1962,2,1,1,7,4,KIRTISINH GOVINDSINH RANA,M,JS,502,NA,NA,32792,60930,WADHWAN,GEN,NA,NA,4,53.82,1.53,no,0,,,,NA,NA,2.5,
Gujarat,1962,2,1,1,8,1,PETHABHAI GANESHBHAI PARMAR,M,INC,19064,NA,NA,28219,57495,LIMBDI,SC,NA,NA,4,49.08,67.56,no,45.71,JATAV,SC,HINDU,NA,NA,1.92,SC
Gujarat,1962,2,1,1,8,2,GOVIND SARA PARMAR,M,IND,6165,NA,NA,28219,57495,LIMBDI,SC,NA,NA,4,49.08,21.85,no,14.76,,,,NA,NA,1.92,
Gujarat,1962,2,1,1,8,3,MANGA CHAKU LADHER,M,JS,2000,NA,NA,28219,57495,LIMBDI,SC,NA,NA,4,49.08,7.09,no,3.58,,,,NA,NA,1.92,
Gujarat,1962,2,1,1,8,4,KANTILAL MOHANLAL SHARMA,M,PSP,990,NA,NA,28219,57495,LIMBDI,SC,NA,NA,4,49.08,3.51,no,0,,,,NA,NA,1.92,
Gujarat,1962,2,1,1,9,1,TRAMBAKLAL MOHANLAL DAVE,M,INC,16433,NA,NA,29414,65014,CHOTILA,GEN,NA,NA,3,45.24,55.87,no,15.71,BRAHMIN,UPPER CASTE,HINDU,NA,NA,2.13,UPPER CASTE
Gujarat,1962,2,1,1,9,2,MOHANBHAI KHODABHAI SARVAIYA,M,IND,11813,NA,NA,29414,65014,CHOTILA,GEN,NA,NA,3,45.24,40.16,no,36.19,,,,NA,NA,2.13,
Gujarat,1962,2,1,1,9,3,LADHUBHA DIPSINH JHALLA,M,HMS,1168,NA,NA,29414,65014,CHOTILA,GEN,NA,NA,3,45.24,3.97,no,0,,,,NA,NA,2.13,
Gujarat,1962,2,1,1,10,1,LABHASHANKER MAGANLAL SHUKLA,M,INC,17568,NA,NA,26035,61821,DHRANGADHRA,GEN,NA,NA,3,42.11,67.48,no,43.07,BRAHMIN,UPPER CASTE,HINDU,NA,NA,1.75,UPPER CASTE
Gujarat,1962,2,1,1,10,2,KANTILAL BECHARDAS SHAH,M,IND,6356,NA,NA,26035,61821,DHRANGADHRA,GEN,NA,NA,3,42.11,24.41,no,16.3,,,,NA,NA,1.75,
Gujarat,1962,2,1,1,10,3,GAVRISHANKER PREMSHANKER SHUKLA,M,IND,2111,NA,NA,26035,61821,DHRANGADHRA,GEN,NA,NA,3,42.11,8.11,no,0,,,,NA,NA,1.75,
Gujarat,1962,2,1,1,11,1,GOKALDAS DOSABHAI PARMAR,M,INC,18193,NA,NA,35406,68301,MORVI,GEN,NA,NA,5,51.84,51.38,no,15.78,JATAV,NOT ASCERTAINED,HINDU,NA,NA,2.5,NOT ASCERTAINED
Gujarat,1962,2,1,1,11,2,RATIBHAI UKABHAI PATEL,M,IND,12605,NA,NA,35406,68301,MORVI,GEN,NA,NA,5,51.84,35.6,no,26.47,,,,NA,NA,2.5,
Gujarat,1962,2,1,1,11,3,CHHAGAN TRIBHOVAN PATEL,M,JS,3234,NA,NA,35406,68301,MORVI,GEN,NA,NA,5,51.84,9.13,no,6.13,,,,NA,NA,2.5,
Gujarat,1962,2,1,1,11,4,BHOGILAL RAVICHAND MEHTA,M,SOC,1062,NA,NA,35406,68301,MORVI,GEN,NA,NA,5,51.84,3,no,2.12,,,,NA,NA,2.5,
Gujarat,1962,2,1,1,11,5,DHIRAJLAL KARASAN VED,M,IND,312,NA,NA,35406,68301,MORVI,GEN,NA,NA,5,51.84,0.88,no,0,,,,NA,NA,2.5,
Gujarat,1962,2,1,1,12,1,DIGVIJAYSINHJI PRATAPSINHJI,M,IND,21728,NA,NA,36088,61849,WANKANER,GEN,NA,NA,3,58.35,60.21,no,29.15,RAJPUT,UPPER CASTE,HINDU,NA,NA,1.72,UPPER CASTE
Gujarat,1962,2,1,1,12,2,JUGATRAM RATANJI RAVAL,M,INC,11210,NA,NA,36088,61849,WANKANER,GEN,NA,NA,3,58.35,31.06,no,22.33,,,,NA,NA,1.72,
Gujarat,1962,2,1,1,12,3,GOVINDBHAI JETHABHAI PATEL,M,IND,3150,NA,NA,36088,61849,WANKANER,GEN,NA,NA,3,58.35,8.73,no,0,,,,NA,NA,1.72,
Gujarat,1962,2,1,1,13,1,BABUBHAI PARANJIVAN VAIDYA,M,IND,15638,NA,NA,39947,72809,RAJKOT,GEN,NA,NA,3,54.87,39.15,no,7.47,BRAHMIN,UPPER CASTE,HINDU,NA,NA,2.94,UPPER CASTE
Gujarat,1962,2,1,1,13,2,RATILAL DOSABHAI TANNA,M,INC,12655,NA,NA,39947,72809,RAJKOT,GEN,NA,NA,3,54.87,31.68,no,2.51,,,,NA,NA,2.94,
Gujarat,1962,2,1,1,13,3,CHIMANLAL HARILAL SHUKLA,M,JS,11654,NA,NA,39947,72809,RAJKOT,GEN,NA,NA,3,54.87,29.17,no,0,,,,NA,NA,2.94,
Gujarat,1962,2,1,1,14,1,MANOHARSINHJI PRADUMANSINHJI JADEJA,M,IND,16151,NA,NA,30052,62765,PADDHARI,GEN,NA,NA,4,47.88,53.74,no,17.05,RAJPUT,UPPER CASTE,HINDU,NA,NA,1.96,UPPER CASTE
Gujarat,1962,2,1,1,14,2,JASDANWALA AKBARALI AMIJI,M,INC,11026,NA,NA,30052,62765,PADDHARI,GEN,NA,NA,4,47.88,36.69,no,28.83,,,,NA,NA,1.96,
Gujarat,1962,2,1,1,14,3,PARSANA MITHABHAI MAVJIBHAI,M,IND,2361,NA,NA,30052,62765,PADDHARI,GEN,NA,NA,4,47.88,7.86,no,6.15,,,,NA,NA,1.96,
Gujarat,1962,2,1,1,14,4,SAGTHIA LAKHA AMARA,M,REP,514,NA,NA,30052,62765,PADDHARI,GEN,NA,NA,4,47.88,1.71,no,0,,,,NA,NA,1.96,
Gujarat,1962,2,1,1,15,1,VAJUBHAI MANILAL SHAH,M,INC,12431,NA,NA,17918,44749,GONDAL,GEN,NA,NA,2,40.04,69.38,no,38.75,VAISHYA,UPPER CASTE,HINDU,NA,NA,1.75,UPPER CASTE
Gujarat,1962,2,1,1,15,2,POPATBHAI HIRJIBHAI PATEL,M,IND,5487,NA,NA,17918,44749,GONDAL,GEN,NA,NA,2,40.04,30.62,no,0,,,,NA,NA,1.75,
Gujarat,1962,2,1,1,16,1,VASANT PRABHA JAYSHUKHLAL SHAH,M,INC,11186,NA,NA,20245,54089,JASDAN,GEN,NA,NA,4,37.43,55.25,no,23.13,VAISHYA,UPPER CASTE,HINDU,NA,NA,2.44,UPPER CASTE
Gujarat,1962,2,1,1,16,2,GELA KARSHAN CHHAYANI,M,PSP,6504,NA,NA,20245,54089,JASDAN,GEN,NA,NA,4,37.43,32.13,no,25.74,,,,NA,NA,2.44,
Gujarat,1962,2,1,1,16,3,LABHUBAI RAM BHARAD,M,JS,1292,NA,NA,20245,54089,JASDAN,GEN,NA,NA,4,37.43,6.38,no,0.14,,,,NA,NA,2.44,
Gujarat,1962,2,1,1,16,4,BHANUSHANKER DIVESHWAR VYAS,M,IND,1263,NA,NA,20245,54089,JASDAN,GEN,NA,NA,4,37.43,6.24,no,0,,,,NA,NA,2.44,
Gujarat,1962,2,1,1,17,1,NARANBHAI KALIDAS PATEL,M,INC,16704,NA,NA,19788,51292,JETPUR,GEN,NA,NA,3,38.58,84.41,no,71.14,PATEL,INTERMEDIARY CASTE,HINDU,NA,NA,1.37,INTERMEDIARY CASTE
Gujarat,1962,2,1,1,17,2,PRATAPRAI HAKMICHAND DESAI,M,IND,2627,NA,NA,19788,51292,JETPUR,GEN,NA,NA,3,38.58,13.28,no,10.97,,,,NA,NA,1.37,
Gujarat,1962,2,1,1,17,3,CHHOTALAL VITHALJI RAJAPOPAT,M,HMS,457,NA,NA,19788,51292,JETPUR,GEN,NA,NA,3,38.58,2.31,no,0,,,,NA,NA,1.37,
Gujarat,1962,2,1,1,18,1,GOVIND KESAVJI PATEL,M,INC,16046,NA,NA,25004,50475,DHORAJI,GEN,NA,NA,4,49.54,64.17,no,32.76,PATEL,INTERMEDIARY CASTE,HINDU,NA,NA,1.96,INTERMEDIARY CASTE
Gujarat,1962,2,1,1,18,2,CHIMANDAS AMICHAND MEHTA,M,NJP,7855,NA,NA,25004,50475,DHORAJI,GEN,NA,NA,4,49.54,31.41,no,28.82,,,,NA,NA,1.96,
Gujarat,1962,2,1,1,18,3,RAJNIKANT SHANTILAL DHRUV,M,PSP,650,NA,NA,25004,50475,DHORAJI,GEN,NA,NA,4,49.54,2.6,no,0.79,,,,NA,NA,1.96,
Gujarat,1962,2,1,1,18,4,RAJALAL MEGHJI KOTADIA,M,SWA,453,NA,NA,25004,50475,DHORAJI,GEN,NA,NA,4,49.54,1.81,no,0,,,,NA,NA,1.96,
Gujarat,1962,2,1,1,19,1,JAIRAM ANAND PATEL,M,INC,19974,NA,NA,29141,54049,UPLETA,GEN,NA,NA,3,53.92,68.54,no,44.27,PATEL,INTERMEDIARY CASTE,HINDU,NA,NA,1.85,INTERMEDIARY CASTE
Gujarat,1962,2,1,1,19,2,VAJUBHAI MAYASHANKER SHUKLA,M,NJP,7072,NA,NA,29141,54049,UPLETA,GEN,NA,NA,3,53.92,24.27,no,17.08,,,,NA,NA,1.85,
Gujarat,1962,2,1,1,19,3,BLKRISHNA NARENDRARAI MANKAD,M,SWA,2095,NA,NA,29141,54049,UPLETA,GEN,NA,NA,3,53.92,7.19,no,0,,,,NA,NA,1.85,
Gujarat,1962,2,1,1,20,1,NARANDAS PITAMBAR ROPAT,M,IND,12859,NA,NA,25238,53458,JODIYA,GEN,NA,NA,3,47.21,50.95,no,6.27,PATEL,NOT ASCERTAINED,HINDU,NA,NA,2.17,NOT ASCERTAINED
Gujarat,1962,2,1,1,20,2,KANTILAL PREMCHAND SHAH,M,INC,11277,NA,NA,25238,53458,JODIYA,GEN,NA,NA,3,47.21,44.68,no,40.32,,,,NA,NA,2.17,
Gujarat,1962,2,1,1,20,3,SHIVAJI KARSHAN CHANDRAPAL,M,REP,1102,NA,NA,25238,53458,JODIYA,GEN,NA,NA,3,47.21,4.37,no,0,,,,NA,NA,2.17,
Gujarat,1962,2,1,1,21,1,MANJULABEN JAYANTILAL DAVE,F,INC,12614,NA,NA,30728,64868,JAMNAGAR,GEN,NA,NA,7,47.37,41.05,no,1.82,BRAHMIN,UPPER CASTE,HINDU,NA,NA,3.03,UPPER CASTE
Gujarat,1962,2,1,1,21,2,SHANTILALA HEMCHAND VASA,M,NJP,12056,NA,NA,30728,64868,JAMNAGAR,GEN,NA,NA,7,47.37,39.23,no,31.28,,,,NA,NA,3.03,
Gujarat,1962,2,1,1,21,3,IBRAHIM MUSA KHURESHI,M,IND,2444,NA,NA,30728,64868,JAMNAGAR,GEN,NA,NA,7,47.37,7.95,no,0.98,6 QURESHI,BC MUSLIM,MUSLIM,NA,NA,3.03,BC MUSLIM
Gujarat,1962,2,1,1,21,4,MEGHJI JETHABHAI CHAUHAN,M,JS,2144,NA,NA,30728,64868,JAMNAGAR,GEN,NA,NA,7,47.37,6.98,no,3.58,,,,NA,NA,3.03,
Gujarat,1962,2,1,1,21,5,VINODRAI BHAGVANDAS SHETH,M,SWA,1045,NA,NA,30728,64868,JAMNAGAR,GEN,NA,NA,7,47.37,3.4,no,2.65,,,,NA,NA,3.03,
Gujarat,1962,2,1,1,21,6,FATEHCHAND POHUSING DUDANI,M,IND,230,NA,NA,30728,64868,JAMNAGAR,GEN,NA,NA,7,47.37,0.75,no,0.11,,,,NA,NA,3.03,
Gujarat,1962,2,1,1,21,7,KANJI VALJI PADALIA,M,HMS,195,NA,NA,30728,64868,JAMNAGAR,GEN,NA,NA,7,47.37,0.63,no,0,,,,NA,NA,3.03,
Gujarat,1962,2,1,1,22,1,BHANJI BHIMJI DHUDHAGARA,M,INC,16386,NA,NA,25518,74810,KALAWAD,GEN,NA,NA,5,34.11,64.21,no,47.15,PATEL,INTERMEDIARY CASTE,HINDU,NA,NA,2.17,INTERMEDIARY CASTE
Gujarat,1962,2,1,1,22,2,DIGVIJAYSINHJI HAMIRSINHJI JADEJA,M,SWA,4355,NA,NA,25518,74810,KALAWAD,GEN,NA,NA,5,34.11,17.07,no,6.54,,,,NA,NA,2.17,
Gujarat,1962,2,1,1,22,3,BHIKHUBHAI DESHALBHAI VAGHELA,M,NJP,2687,NA,NA,25518,74810,KALAWAD,GEN,NA,NA,5,34.11,10.53,no,5.21,,,,NA,NA,2.17,
Gujarat,1962,2,1,1,22,4,AMRUTLAL MAKANJI BHATT,M,IND,1358,NA,NA,25518,74810,KALAWAD,GEN,NA,NA,5,34.11,5.32,no,2.45,,,,NA,NA,2.17,
Gujarat,1962,2,1,1,22,5,LAVJI GOVIND VASOYA,M,IND,732,NA,NA,25518,74810,KALAWAD,GEN,NA,NA,5,34.11,2.87,no,0,,,,NA,NA,2.17,
Gujarat,1962,2,1,1,23,1,NANJI DEVJI SINOJIA,M,INC,16563,NA,NA,21542,57717,JAMJODHPUR,GEN,NA,NA,2,37.32,76.89,no,53.77,PATEL,INTERMEDIARY CASTE,HINDU,NA,NA,1.56,INTERMEDIARY CASTE
Gujarat,1962,2,1,1,23,2,NAVALSHANKER BHAGVANJI JOSHI,M,SWA,4979,NA,NA,21542,57717,JAMJODHPUR,GEN,NA,NA,2,37.32,23.11,no,0,,,,NA,NA,1.56,
Gujarat,1962,2,1,1,24,1,HARILAL RAMJI NAKUM,M,INC,13593,NA,NA,20149,61966,KHAMBHALIA,GEN,NA,NA,3,32.52,67.46,no,40.47,YADAV,OBC PP,HINDU,NA,NA,1.89,OBC PP
Gujarat,1962,2,1,1,24,2,DUWARKASA VITHALDAS BARAI,M,PSP,5439,NA,NA,20149,61966,KHAMBHALIA,GEN,NA,NA,3,32.52,26.99,no,21.45,,,,NA,NA,1.89,
Gujarat,1962,2,1,1,24,3,RANCHHHODLAL PARSOTAM BHATT,M,SWA,1117,NA,NA,20149,61966,KHAMBHALIA,GEN,NA,NA,3,32.52,5.54,no,0,,,,NA,NA,1.89,
Gujarat,1962,2,1,1,25,1,HARIDAS JAMNADAS KANANI,M,INC,15313,NA,NA,23638,56148,DWARKA,GEN,NA,NA,4,42.1,64.78,no,39.63,PATEL,INTERMEDIARY CASTE,HINDU,NA,NA,2,INTERMEDIARY CASTE
Gujarat,1962,2,1,1,25,2,RAMBHAI KARABHAI AHER,M,IND,5945,NA,NA,23638,56148,DWARKA,GEN,NA,NA,4,42.1,25.15,no,16.5,,,,NA,NA,2,
Gujarat,1962,2,1,1,25,3,RAMANLAL BHUDERJI THAKER,M,SWA,2045,NA,NA,23638,56148,DWARKA,GEN,NA,NA,4,42.1,8.65,no,7.23,,,,NA,NA,2,
Gujarat,1962,2,1,1,25,4,SHIVLAL JAMNASAS THAKER,M,IND,335,NA,NA,23638,56148,DWARKA,GEN,NA,NA,4,42.1,1.42,no,0,,,,NA,NA,2,
Gujarat,1962,2,1,1,26,1,POPATLAL DAHYABHAI KAKKAD,M,INC,12172,NA,NA,22306,57842,PORBANDAR,GEN,NA,NA,3,38.56,54.57,no,12.47,PATEL,NOT ASCERTAINED,HINDU,NA,NA,2.08,NOT ASCERTAINED
Gujarat,1962,2,1,1,26,2,RAMBHAI LAKHANSHI VISANA,M,CPI,9390,NA,NA,22306,57842,PORBANDAR,GEN,NA,NA,3,38.56,42.1,no,38.76,,,,NA,NA,2.08,
Gujarat,1962,2,1,1,26,3,MOHAN VELJI SOLANKI,M,JS,744,NA,NA,22306,57842,PORBANDAR,GEN,NA,NA,3,38.56,3.34,no,0,,,,NA,NA,2.08,
Gujarat,1962,2,1,1,27,1,MALDEVJI MANDALKJI ODEDRA,M,INC,18887,NA,NA,24014,53617,KUTIYANA,GEN,NA,NA,3,44.79,78.65,no,65.44,RAJPUT,NOT ASCERTAINED,HINDU,NA,NA,1.54,NOT ASCERTAINED
Gujarat,1962,2,1,1,27,2,HARJIVAN VELJI JASANI,M,JS,3173,NA,NA,24014,53617,KUTIYANA,GEN,NA,NA,3,44.79,13.21,no,5.08,,,,NA,NA,1.54,
Gujarat,1962,2,1,1,27,3,DANA NARAN MAKVANA,M,IND,1954,NA,NA,24014,53617,KUTIYANA,GEN,NA,NA,3,44.79,8.14,no,0,,,,NA,NA,1.54,
Gujarat,1962,2,1,1,28,1,MANHARLALA AMRABHAI CHAVDA,M,INC,19330,NA,NA,28624,66442,MANAVADAR,SC,NA,NA,5,43.08,67.53,no,49.63,JATAV,SC,HINDU,NA,NA,2,SC
Gujarat,1962,2,1,1,28,2,GIRDHARBHAI VALJIBHAI VAGHELA,M,IND,5124,NA,NA,28624,66442,MANAVADAR,SC,NA,NA,5,43.08,17.9,no,8,,,,NA,NA,2,
Gujarat,1962,2,1,1,28,3,NATHALAL KHIMJI DHAMAD,M,JS,2834,NA,NA,28624,66442,MANAVADAR,SC,NA,NA,5,43.08,9.9,no,7.43,,,,NA,NA,2,
Gujarat,1962,2,1,1,28,4,MULDAS MANOHARDAS SOLANKI,M,REP,707,NA,NA,28624,66442,MANAVADAR,SC,NA,NA,5,43.08,2.47,no,0.27,,,,NA,NA,2,
Gujarat,1962,2,1,1,28,5,AMARNATH GOPALNATH YADAV,M,SWA,629,NA,NA,28624,66442,MANAVADAR,SC,NA,NA,5,43.08,2.2,no,0,3 YADAV,OBC,HINDU,NA,NA,2,OBC
Gujarat,1962,2,1,1,29,1,THAKARSHI DHANJI LADANI,M,INC,17200,NA,NA,27373,65590,KESHOD,GEN,NA,NA,2,41.73,62.84,no,25.67,PATEL,INTERMEDIARY CASTE,HINDU,NA,NA,1.89,INTERMEDIARY CASTE
Gujarat,1962,2,1,1,29,2,DHARAMSHI DAYABHAI PATEL,M,IND,10173,NA,NA,27373,65590,KESHOD,GEN,NA,NA,2,41.73,37.16,no,0,,,,NA,NA,1.89,
Gujarat,1962,2,1,1,30,1,KUNDANLAL DIVYAKANT,M,INC,16170,NA,NA,29307,61814,JUNAGADH,GEN,NA,NA,5,47.41,55.17,no,34.09,BRAHMIN,UPPER CASTE,HINDU,NA,NA,2.56,UPPER CASTE
Gujarat,1962,2,1,1,30,2,SURYAKANT KRIPASHANKAR ACHARYA,M,JS,6180,NA,NA,29307,61814,JUNAGADH,GEN,NA,NA,5,47.41,21.09,no,2.88,,,,NA,NA,2.56,
Gujarat,1962,2,1,1,30,3,HARBHAI SHAMJIBHAI PATEL,M,IND,5336,NA,NA,29307,61814,JUNAGADH,GEN,NA,NA,5,47.41,18.21,no,14.45,,,,NA,NA,2.56,
Gujarat,1962,2,1,1,30,4,PATHAN IBRAHIMKHAN NURKHAN KHALIL,M,IND,1101,NA,NA,29307,61814,JUNAGADH,GEN,NA,NA,5,47.41,3.76,no,1.98,6 PATHAN,UC MUSLIM,MUSLIM,NA,NA,2.56,UC MUSLIM
Gujarat,1962,2,1,1,30,5,JANAKRAI SHIVDATRAI MANKAD,M,SWA,520,NA,NA,29307,61814,JUNAGADH,GEN,NA,NA,5,47.41,1.77,no,0,,,,NA,NA,2.56,
Gujarat,1962,2,1,1,31,1,MADINABEN AKBARBHAI NAGORI,F,INC,13655,NA,NA,23462,57298,VISAVADAR,GEN,NA,NA,3,40.95,58.2,no,28.86,SAYYAD,MUSLIM LOWER CASTE,MUSLIM,NA,NA,2.22,MUSLIM LOWER CASTE
Gujarat,1962,2,1,1,31,2,SHARDABEN DHARAMSIBHAI PATEL,F,IND,6884,NA,NA,23462,57298,VISAVADAR,GEN,NA,NA,3,40.95,29.34,no,16.88,,,,NA,NA,2.22,
Gujarat,1962,2,1,1,31,3,GHUNSA DOSA TALAVIYA,M,PSP,2923,NA,NA,23462,57298,VISAVADAR,GEN,NA,NA,3,40.95,12.46,no,0,,,,NA,NA,2.22,
Gujarat,1962,2,1,1,32,1,RATIBHAI UKABHAI PATEL,M,IND,16334,NA,NA,29957,58337,MALIYA,GEN,NA,NA,2,51.35,54.52,no,9.05,PATEL,INTERMEDIARY CASTE,HINDU,NA,NA,1.96,INTERMEDIARY CASTE
Gujarat,1962,2,1,1,32,2,MAHENDRAKUMAR RAMBHAI GAL,M,INC,13623,NA,NA,29957,58337,MALIYA,GEN,NA,NA,2,51.35,45.48,no,0,,,,NA,NA,1.96,
Gujarat,1962,2,1,1,33,1,RAMANLAL PRABHUDAS SHAH,M,INC,21882,NA,NA,38941,59968,SOMNATH,GEN,NA,NA,4,64.94,56.19,no,14.61,VAISHYA,UPPER CASTE,HINDU,NA,NA,2,UPPER CASTE
Gujarat,1962,2,1,1,33,2,KANJI GANDA GOHEL,M,IND,16192,NA,NA,38941,59968,SOMNATH,GEN,NA,NA,4,64.94,41.58,no,39.83,,,,NA,NA,2,
Gujarat,1962,2,1,1,33,3,ABA UMAR BIN AHMED JAMADAR,M,PSP,680,NA,NA,38941,59968,SOMNATH,GEN,NA,NA,4,64.94,1.75,no,1.27,,,,NA,NA,2,
Gujarat,1962,2,1,1,33,4,VITHALDAS VALABHDAS SANGANI,M,IND,187,NA,NA,38941,59968,SOMNATH,GEN,NA,NA,4,64.94,0.48,no,0,,,,NA,NA,2,
Gujarat,1962,2,1,1,34,1,RATUBHAI MULSHANKAR ADANI,M,INC,17328,NA,NA,27512,51708,UNA,GEN,NA,NA,2,53.21,62.98,no,25.97,NA,UPPER CASTE,HINDU,NA,NA,1.85,UPPER CASTE
Gujarat,1962,2,1,1,34,2,RASIKCHANDRA DEVSHANKAR ACHARYA,M,PSP,10184,NA,NA,27512,51708,UNA,GEN,NA,NA,2,53.21,37.02,no,0,,,,NA,NA,1.85,
Gujarat,1962,2,1,1,35,1,KANSAGRA JINA DEVRAJ,M,INC,19510,NA,NA,29064,67391,BABRA,GEN,NA,NA,2,43.13,67.13,no,34.26,OTHER CRAFTMAN,NOT ASCERTAINED,HINDU,NA,NA,1.79,NOT ASCERTAINED
Gujarat,1962,2,1,1,35,2,VAKHARIA KRISHNAKANT GULABCHAND,M,PSP,9554,NA,NA,29064,67391,BABRA,GEN,NA,NA,2,43.13,32.87,no,0,,,,NA,NA,1.79,
Gujarat,1962,2,1,1,36,1,SUMITRABAHEN HARIPRASAD BHATT,M,INC,17473,NA,NA,26618,51141,LATHI,GEN,NA,NA,4,52.05,65.64,no,37.91,BRAHMIN,UPPER CASTE,HINDU,NA,NA,1.96,UPPER CASTE
Gujarat,1962,2,1,1,36,2,MASRANI KHODIDAS DURLABHJI,M,PSP,7381,NA,NA,26618,51141,LATHI,GEN,NA,NA,4,52.05,27.73,no,23.15,,,,NA,NA,1.96,
